input,n_R,first_igniting_hz,max_stable_hz,config_max_hz,wall_s
sugar,62,,80,50,27.325925588607788
water,58,,80,30,25.208670139312744
bitter,33,,80,50,22.0637104511261
leg_grn,48,,80,30,37.79166579246521
orn_dm1,33,,80,40,65.62913918495178
orn_v,33,,80,40,28.05594825744629
orn_da2,22,,80,40,21.314062356948853
orn_da1,66,,80,40,24.52802801132202
orn_dl3,42,,80,40,22.638655185699463
jo_a,51,,80,40,22.557256937026978
jo_b,103,,80,40,22.983561515808105
jo_ce,204,,80,40,32.80100345611572
lc4,50,,80,60,55.83371329307556
lplc2,102,,80,60,76.68898248672485
lc11,61,,80,40,46.29936981201172
