condition,MN9,gf,dnp09,odn1,dna01,dna02,mdn,adn,halt,pc1,aipg,vpodn,dnp13,asp22,da1_lpn
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sugar_L,65.10561898039342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.707672750778665,0.0,0.0,0.0,0.0,0.0,0.0
sugar_R,15.594565105119962,0.0,0.0,0.0,0.0,0.7480800504032674,0.0,0.0,2.9662595157565033,0.0,0.0,0.0,0.0,0.0,0.0
water_L,37.028878513225884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3720806243455455,0.0,0.0,0.0,0.0,0.0,0.0
water_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bitter_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bitter_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leg_grn_L,0.0,0.0,0.0,7.128004001123442,2.168330758607835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leg_grn_R,0.0,0.0,0.0,0.9403622140581938,0.4670811402652671,0.5115655256875058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15131611450903878,0.0
orn_dm1_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_dm1_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_v_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_v_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_da2_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_da2_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_da1_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_da1_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_dl3_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_dl3_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20141027435779799
jo_a_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jo_a_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jo_b_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jo_b_R,0.0,1.102055264030555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jo_ce_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jo_ce_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc4_L,0.0,48.81986174713294,0.0,0.0,10.808108030122018,5.68314753330672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc4_R,0.0,49.18039985588432,0.0,0.08304404437109661,7.306110988257499,4.44142461067006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lplc2_L,0.0,83.86565974211425,0.0,12.218232621734995,10.811379801844538,10.41759352701672,0.0,0.0,0.0,0.0,0.0,0.0,1.2550998748273503,0.0,0.0
lplc2_R,0.0,91.91899294068452,0.0,6.7465590474755865,6.600776891640331,18.372906728523862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc11_L,0.0,0.0,0.0,0.0,0.0,4.107740653341277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lc11_R,0.0,0.0,0.01506717147644208,11.457312392473568,1.0581796227329565,4.952519965465107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cva+song_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cva+lc11_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sugar+bitter_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
loom_both,0.0,135.25998916293702,0.0,2.4957349574564214,2.4633271925491167,5.697708323727903,0.6031828917106167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
