condition,ignited,trials,spikes_per_trial,wall_s,MN9_L,MN9_R,MN9_all,gf_L,gf_R,gf_all,dnp09_L,dnp09_R,dnp09_all,odn1_L,odn1_R,odn1_all,dna01_L,dna01_R,dna01_all,dna02_L,dna02_R,dna02_all,mdn_L,mdn_R,mdn_all,adn_L,adn_R,adn_all,halt_L,halt_R,halt_all,pc1_L,pc1_R,pc1_all,aipg_L,aipg_R,aipg_all,vpodn_L,vpodn_R,vpodn_all,dnp13_L,dnp13_R,dnp13_all,asp22_L,asp22_R,asp22_all,da1_lpn_L,da1_lpn_R,da1_lpn_all
baseline,0,2,0.0,3.622424602508545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sugar_L,0,2,6738.0,5.143176555633545,52.14184627118021,78.06939168960662,65.10561898039342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.558175297813264,7.857170203744071,15.707672750778665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sugar_R,0,2,2588.5,3.8503530025482178,14.267566373089654,16.92156383715026,15.594565105119962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4961601008065348,0.7480800504032674,0.0,0.0,0.0,0.0,0.0,0.0,1.1911250855133888,4.741393945999618,2.9662595157565033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_L,0,2,3312.5,4.169245958328247,24.4107013558123,49.64705567063949,37.028878513225884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.744161248691091,0.0,3.3720806243455455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_R,0,2,1233.5,3.8779983520507812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bitter_L,0,2,1234.5,3.948573350906372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bitter_R,0,2,1179.0,3.8321657180786133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leg_grn_L,0,2,2068.0,4.4132866859436035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7020998181279006,5.533712385751767,4.117906101939833,2.831612567623865,0.0,1.4158062838119325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leg_grn_R,0,2,1805.0,4.249744415283203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3591064880612772,0.5197371647159963,0.4394218263886368,0.38375573874281754,0.24777431276963888,0.3157650257562284,0.20286044968726585,0.20286044968726585,0.20286044968726585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_dm1_L,0,2,7810.5,6.457668781280518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.663097472597359,18.808442334725644,12.735769903661502,16.05617683585875,4.4165693549565415,10.236373095407647,25.531057608123792,0.0,12.765528804061896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.300038386439148,1.150019193219574,0.0,0.0,0.0
orn_dm1_R,0,2,8019.0,6.669605493545532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.046087757724976,18.30297709287977,15.174532425302374,10.599557136409375,6.2915647159366435,8.445560926173009,14.95502286239364,2.562964275850529,8.758993569122085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.572496288918106,0.286248144459053,0.0,0.0,0.0
