input,n_R,first_igniting_hz,max_stable_hz,config_max_hz,wall_s
sugar,17,,80,50,42.372090339660645
water,8,,80,30,14.601148843765259
bitter,27,60.0,40,50,13.117455005645752
leg_grn,338,10.0,0,30,4.287935256958008
ppk23,32,,80,40,15.07357120513916
orn_dm1,39,,80,40,73.44607877731323
orn_v,39,20.0,10,40,24.320454835891724
orn_da2,20,60.0,40,40,14.151891708374023
orn_da1,105,20.0,10,40,12.447716236114502
orn_dl3,31,,80,40,16.138196229934692
jo_a,32,,80,40,13.754036664962769
jo_b,29,,80,40,13.832122087478638
jo_ce,132,20.0,10,40,13.50312614440918
lc4,55,,80,60,60.88328289985657
lplc2,91,80.0,60,60,72.36015629768372
lc11,75,80.0,60,40,73.69399428367615
