condition,MN9,gf,dnp09,odn1,dna01,dna02,mdn,adn,halt,pc1,p1,aipg,tk,pip10,vpr6,dnp13,asp22,da1_lpn
baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sugar_L,4.721659393994855,0.0,0.0,2.86739642661088,0.9557988088702932,2.0908553565289494,7.729749363233631,0.0,0.02501238549835438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sugar_R,19.162685764274986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bitter_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bitter_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leg_grn_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leg_grn_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppk23_L,0.0,0.0,0.0,0.0,0.0,1.7706195976488934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppk23_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_dm1_L,0.02501238549835438,0.0,0.8431180980612412,0.5361528746959769,1.3416717106424711,0.0,0.9599936001363822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97060160207885,0.0
orn_dm1_R,0.5479627303233675,0.0,0.9154091484644261,2.1426433535446647,2.7077774508594286,0.0,6.063994986174736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4486339388563178,0.0
orn_v_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_v_R,0.9936917997362066,0.0,0.0,1.0585676686162693,2.3375909787345925,2.703556095279529,9.528660201824007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_da2_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_da2_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_da1_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6214455328383175
orn_da1_R,7.668673318967599,0.0,0.0,0.0,0.011238789266076188,0.0,0.0,0.0,0.0,0.0,0.0,0.0008027706618625851,0.0,0.009201542399499298,0.0,0.025936670537219646,0.0,5.29917026616944
orn_dl3_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orn_dl3_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jo_a_L,0.4455253418462592,0.0,0.0,0.0,1.6204704512437036,0.8969083762599924,13.009124160590048,0.0,0.0,0.0,0.0,0.0,0.0,0.022477578532152376,0.0,0.0,0.4393249370877427,0.0
jo_a_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jo_b_L,0.9668894962622238,27.1056664082191,0.0,0.5420518636607151,0.7525244747959021,1.283134824993136,12.130929745244918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0074188879441732,0.0
jo_b_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jo_ce_L,0.834230637882061,0.0,0.5371290046499687,0.7849522713437161,0.0,0.6508618151541822,17.579440965935433,0.0,0.0,0.0,0.0,0.0,0.0,0.027454176415932733,0.0,0.0,0.6830102783939048,0.0
jo_ce_R,6.401488913015349,0.0,0.0,0.0,0.0,0.0,5.047113685308926,0.0,0.0,0.0,0.0,0.0,0.0,2.7163891281707535,0.0,0.0,1.5846294835797676,0.0
