day,dir,seconds,wall_s,control,brain_mode,dist_Ada,eat_Ada,near_Ada,ign_Ada,lab_Ada,cap_Ada,dist_Bia,eat_Bia,near_Bia,ign_Bia,lab_Bia,cap_Bia,dist_Cleo,eat_Cleo,near_Cleo,ign_Cleo,lab_Cleo,cap_Cleo,dist_Dan,eat_Dan,near_Dan,ign_Dan,lab_Dan,cap_Dan,dist_Edu,eat_Edu,near_Edu,ign_Edu,lab_Edu,cap_Edu,dist_Fil,eat_Fil,near_Fil,ign_Fil,lab_Fil,cap_Fil,encontros,encontros_mf_s,pares_mf,cantos,saltos,capturas,entradas_lab,esferas,presa_agua,convulsao_ticks,fugiram,S1_quase,S1_disparou,S2_quase,S2_disparou,S3_quase,S3_disparou,S4_quase,S4_disparou,agregacao
100,runs\cem\day_0100,60.0,448,,reduced,7.6,0.0,0.09,0.0,0.0,0,20.23,19.31,0.36,0.0,0.0,0,4.71,0.0,0.09,0.0,0.0,0,11.8,0.0,0.0,0.0,19.89,0,12.21,0.0,0.0,0.0,0.0,0,34.51,0.0,0.36,0.0,0.0,0,3.0,0.36,1.0,6.0,105.0,0.0,1.0,0.0,1.0,0.0,0,5,0,0,0,0,0,0,0,0.0026666666666666666
101,runs\cem\day_0101,60.0,561,,reduced,9.79,0.01,0.09,0.0,0.0,0,9.3,0.0,0.0,0.0,28.47,0,7.09,0.0,0.0,0.0,0.0,0,28.59,0.0,0.0,0.0,0.0,0,111.11,0.0,0.09,0.0,28.73,0,31.99,0.81,0.0,0.0,0.0,0,1.0,0.09,1.0,11.0,420.0,0.0,2.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0.0006666666666666666
102,runs\cem\day_0102,60.0,544,,reduced,26.1,0.0,0.14,0.0,0.0,0,3.43,40.68,0.18,0.0,0.0,0,0.01,59.93,0.0,0.0,0.0,0,16.48,0.0,0.0,0.0,0.0,0,23.73,0.0,0.18,0.0,0.0,0,31.86,0.0,0.14,0.0,0.0,0,2.0,0.32,2.0,3.0,103.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0016666666666666668
103,runs\cem\day_0103,60.0,493,,reduced,52.14,0.0,0.0,0.0,0.0,0,4.32,58.94,0.09,0.0,0.0,0,5.4,36.95,0.09,0.0,0.0,0,7.16,0.0,0.0,0.0,0.0,0,36.47,0.0,0.39,0.0,30.11,1,18.65,0.04,0.39,0.0,0.0,0,2.0,0.0,0.0,51.0,245.0,1.0,2.0,1.0,3.0,0.0,0,4,2,0,0,0,0,0,0,0.0029999999999999996
104,runs\cem\day_0104,60.0,468,,reduced,2.52,36.36,22.65,0.0,0.0,0,13.51,0.0,0.0,0.0,0.0,0,12.95,0.0,22.65,0.0,0.0,0,19.24,0.0,0.0,0.0,0.0,0,53.83,0.0,0.0,0.0,0.0,0,8.68,0.98,0.0,0.0,0.0,0,2.0,0.0,0.0,1.0,113.0,0.0,0.0,1.0,2.0,0.0,0,1,0,0,0,0,0,0,0,0.126
150,runs\cem\day_0150,60.0,641,Fil,reduced,1.35,0.0,0.0,0.0,0.0,0,10.4,0.0,0.0,0.0,0.0,0,19.76,0.0,0.0,0.0,0.0,0,18.69,0.0,0.0,0.0,0.0,0,57.66,0.0,0.0,0.0,0.0,0,21.43,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,44.0,109.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
151,runs\cem\day_0151,60.0,634,Fil,reduced,3.02,47.69,0.0,0.0,0.0,0,6.07,47.15,0.0,0.0,0.0,0,8.01,0.0,0.0,0.0,0.0,0,6.88,0.0,0.0,0.0,0.0,0,3.93,0.0,0.0,0.0,0.0,0,29.8,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,296.0,40.0,3.0,0.0,1.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0.0
152,runs\cem\day_0152,60.0,512,Fil,reduced,34.2,0.0,0.0,0.0,0.0,0,10.57,0.78,1.69,0.0,0.0,0,11.47,0.0,1.66,0.0,0.0,0,37.59,0.0,0.03,0.0,0.0,0,29.41,0.9,0.0,0.0,0.0,0,30.07,0.0,0.0,0.0,0.0,0,2.0,0.03,1.0,48.0,183.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0095
153,runs\cem\day_0153,60.0,632,Fil,reduced,35.34,0.0,0.0,0.0,0.0,0,7.33,59.12,0.0,0.0,0.0,0,6.75,41.16,0.0,0.0,0.0,0,6.98,0.0,0.0,0.0,0.0,0,97.58,0.0,0.0,0.0,33.65,0,29.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0,300.0,0.0,1.0,0.0,1.0,0.0,0,4,0,1,0,1,0,2,0,0.0
154,runs\cem\day_0154,60.0,624,Fil,reduced,4.57,53.54,0.0,0.0,0.0,0,28.51,5.62,5.86,0.0,0.0,0,5.65,0.0,0.0,0.0,0.0,0,12.26,0.0,0.0,0.0,0.0,0,17.89,1.05,5.86,0.0,0.0,0,15.28,0.0,0.0,0.0,0.0,0,1.0,5.86,1.0,20.0,91.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.03266666666666667
155,runs\cem\day_0155,60.0,639,Fil,reduced,35.44,0.9,0.0,0.0,0.0,0,13.12,0.0,0.0,0.0,0.0,0,26.03,0.0,0.0,0.0,0.0,0,13.64,0.0,0.0,0.0,0.0,0,22.44,0.0,0.0,0.0,0.0,0,35.41,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,197.0,136.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
156,runs\cem\day_0156,60.0,653,Fil,reduced,13.41,0.0,0.0,0.0,0.0,0,25.14,0.0,0.0,0.0,0.0,0,14.3,0.0,0.83,0.0,0.0,0,17.01,0.01,0.0,0.0,0.0,0,13.51,1.29,0.0,0.0,0.0,0,31.79,0.0,0.83,0.0,0.0,0,4.0,0.83,1.0,106.0,115.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.004666666666666667
157,runs\cem\day_0157,60.0,683,Fil,reduced,21.5,0.0,0.12,0.0,0.0,0,3.48,46.59,0.0,0.0,0.0,0,23.78,0.0,0.12,0.0,0.0,0,9.16,0.2,0.0,0.0,0.0,0,10.28,0.0,0.0,0.0,0.0,0,47.19,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,300.0,75.0,0.0,0.0,1.0,0.0,0.0,0,10,0,0,0,0,0,0,0,0.0006666666666666666
158,runs\cem\day_0158,60.0,649,Fil,reduced,24.55,0.0,0.0,0.0,0.0,0,14.31,27.95,0.0,0.0,0.0,0,11.86,33.95,0.0,0.0,0.0,0,37.99,0.0,0.0,0.0,0.0,0,27.78,0.0,0.0,0.0,0.0,0,27.12,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,32.0,148.0,0.0,0.0,0.0,0.0,0.0,0,3,0,0,0,0,0,0,0,0.0
159,runs\cem\day_0159,60.0,658,Fil,reduced,39.85,0.0,0.0,0.0,0.0,0,6.13,0.0,0.38,0.0,0.0,0,21.99,0.17,0.0,0.0,0.0,0,25.37,1.33,0.0,0.0,0.0,0,24.63,0.0,0.0,0.0,0.0,0,11.11,0.0,0.38,0.0,0.0,0,1.0,0.38,1.0,70.0,144.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.002
160,runs\cem\day_0160,60.0,641,Fil,reduced,20.71,0.0,0.26,0.0,0.0,0,26.16,0.0,0.87,0.0,0.0,0,20.05,26.69,0.8,0.0,0.0,0,18.96,0.0,0.0,0.0,0.0,0,58.66,0.14,0.0,0.0,0.0,0,20.75,0.0,0.0,20.0,15.87,1,4.0,0.0,0.0,29.0,118.0,1.0,1.0,0.0,1.0,20.0,0,1,0,0,0,0,0,0,0,0.005333333333333333
161,runs\cem\day_0161,60.0,7270,Fil,reduced,22.99,1.6,4.14,0.0,0.0,0,20.66,0.0,0.0,0.0,0.0,0,7.54,0.0,0.0,0.0,0.0,0,24.38,0.2,0.0,0.0,0.0,0,34.58,0.0,4.13,0.0,0.0,0,55.99,0.0,0.01,0.0,0.0,0,2.0,4.14,2.0,66.0,145.0,0.0,0.0,1.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0.023000000000000003
162,runs\cem\day_0162,60.0,689,Fil,reduced,7.01,54.23,0.12,0.0,0.0,0,14.27,0.0,0.0,0.0,0.0,0,4.79,0.0,0.0,0.0,0.0,0,9.01,0.0,0.0,0.0,0.0,0,10.97,0.0,0.12,0.0,0.0,0,33.66,0.0,0.0,0.0,0.0,2,1.0,0.12,1.0,18.0,65.0,2.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0.0006666666666666666
163,runs\cem\day_0163,60.0,675,Fil,reduced,35.9,0.0,0.39,0.0,0.0,0,19.51,0.42,0.27,0.0,0.0,0,16.94,0.04,0.0,0.0,0.0,0,20.94,0.0,0.0,0.0,0.0,0,23.49,0.59,0.12,0.0,0.0,0,10.66,0.0,0.0,0.0,0.0,0,2.0,0.12,1.0,2.0,126.0,0.0,0.0,1.0,0.0,0.0,0,2,0,0,0,0,0,0,0,0.0023333333333333335
